,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-ademamix,Python
49,ml-afv,Python
50,ml-agm,Python
51,ml-aim,Python
52,ml-all-pairs,Python
53,ml-ane-transformers,Python
54,ml-aspanformer,Python
55,ml-aura,Python
56,ml-autofocusformer,Python
57,ml-autofocusformer-segmentation,Python
58,ml-batchquant,Python
59,ml-behavioral-testing-for-mt,
60,ml-bilevel-train-dist,Python
61,ml-calibration,Jupyter Notebook
62,ml-capsules-inverted-attention-routing,Python
63,ml-cifar-10-faster,Python
64,ml-code-switched-speech-translation,Python
65,ml-codeswitching-translations,
66,ml-collegial-ensembles,Python
67,ml-compress-and-compare,Python
68,ml-core,Python
69,ml-covid-mobility,R
70,ml-cread,Python
71,ml-cvnets,Python
72,ml-cvpr2019-swd,Python
73,ml-dab,Python
74,ml-data-parameters,Python
75,ml-delphi,
76,ml-depth-pro,Python
77,ml-destseg,Python
78,ml-diffusion-alignment-gflownet,Python
79,ml-direct2.5,Python
80,ml-dms-dataset,Python
81,ml-dprecs,Jupyter Notebook
82,ml-dr,Python
83,ml-duet,Python
84,ml-entity-deduction-arena,Python
85,ml-entropy-reconstruction,Python
86,ml-envmapnet,Python
87,ml-equivariant-neural-rendering,Jupyter Notebook
88,ml-facelit,Python
89,ml-famae,Python
90,ml-fastvit,Python
91,ml-fct,Python
92,ml-ferret,Python
93,ml-finerecon,Python
94,ml-flair,Jupyter Notebook
95,ml-gaudi,
96,ml-gendered-translation,Ruby
97,ml-gmpi,Python
98,ml-gsn,Python
99,ml-hd-gist,Python
100,ml-heart-rate-models,Python
101,ml-hierarchical-confusion-matrix,TypeScript
102,ml-hugs,Python
103,ml-hypercloning,Python
104,ml-hypersim,Python
105,ml-interspeech2022-phi_rtn,
106,ml-jointnet,Python
107,ml-key-retrieval-code-tasks,Python
108,ml-keyframer,JavaScript
109,ml-kge,Python
110,ml-knowledge-conflicts,Python
111,ml-live-pose,
112,ml-llarp,Python
113,ml-lucid-datagen,Python
114,ml-mad-bench,Jupyter Notebook
115,ml-mcf,Python
116,ml-mdm,Python
117,ml-mgie,Python
118,ml-mia-bench,Jupyter Notebook
119,ml-MixupMP,Python
120,ml-mkqa,Python
121,ml-mobileclip,Python
122,ml-mobileone,Swift
123,ml-mofi,Python
124,ml-multiple-futures-prediction,Python
125,ml-mycelium,JavaScript
126,ml-ncg,Python
127,ml-neilf,Python
128,ml-neilfpp,Python
129,ml-neuman,Python
130,ml-no-token-left-behind,Jupyter Notebook
131,ml-np-rasp,Python
132,ml-nvas3d,Python
133,ml-ogen,Python
134,ml-pgdvs,Python
135,ml-planner,Python
136,ml-pointconvformer,Python
137,ml-pointersect,Python
138,ml-probabilistic-attention,Python
139,ml-projunit,Python
140,ml-qrecc,Python
141,ml-quant,Python
142,ml-recurrent-drafter,Python
143,ml-reed,Python
144,ml-rlgrad,Python
145,ml-robust-expert-augmentations,Python
146,ml-rpm-bench,Python
147,ml-sad,Python
148,ml-sampleplan,Python
149,ml-selfcond,Python
150,ml-shuffling-amplification,Python
151,ml-sigma-reparam,Python
152,ml-sigmoid-attention,Python
153,ml-slowfast-llava,Python
154,ml-spatial-librispeech,
155,ml-spin,Python
156,ml-stable-diffusion,Python
157,ml-stabledreamer,
158,ml-stuttering-events-dataset,Python
159,ml-superposition-prompting,Python
160,ml-symphony,Svelte
161,ml-tic-clip,Python
162,ml-toad,Python
163,ml-tract,Python
164,ml-transcript-translation-consistency-ratings,
165,ml-translate-vis,TypeScript
166,ml-tree-dst,Python
167,ml-tune-mode-convbn,Python
168,ml-tweak,Python
169,ml-upscale,Jupyter Notebook
170,ml-uwac,Python
171,ml-veclip,Jupyter Notebook
172,ml-vfi-smiff,Python
173,ml-vfm-kt,
174,ml-vision-transformers-ane,Python
175,music-feed-examples,Java
176,openjdk,Java
177,password-manager-resources,JavaScript
178,pfl-research,Jupyter Notebook
179,pkl,Java
180,pkl-evolution,
181,pkl-go,Go
182,pkl-go-examples,Go
183,pkl-intellij,Kotlin
184,pkl-jvm-examples,Groovy
185,pkl-k8s,Pkl
186,pkl-k8s-examples,
187,pkl-lang.org,JavaScript
188,pkl-lsp,Kotlin
189,pkl-neovim,Scheme
190,pkl-package-docs,Kotlin
191,pkl-pantry,Pkl
192,pkl-project-commons,
193,pkl-spring,Java
194,pkl-swift,Swift
195,pkl-swift-examples,Swift
196,pkl-vscode,TypeScript
197,pkl.tmbundle,
198,pytorch-speech-features,Python
199,rules_pkl,Starlark
200,sample-backyard-birds,Swift
201,sample-cloudkit-coredatasync,Swift
202,sample-cloudkit-encryption,Swift
203,sample-cloudkit-privatedb,Swift
204,sample-cloudkit-privatedb-sync,Swift
205,sample-cloudkit-queries,Swift
206,sample-cloudkit-sharing,Swift
207,sample-cloudkit-sync-engine,Swift
208,sample-cloudkit-tooling,JavaScript
209,sample-cloudkit-zonesharing,Swift
210,sample-food-truck,Swift
211,servicetalk,Java
212,swift-3-api-guidelines-review,Swift
213,swift-algorithms,Swift
214,swift-aoc-starter-example,Swift
215,swift-argument-parser,Swift
216,swift-asn1,Swift
217,swift-async-algorithms,Swift
218,swift-async-dns-resolver,Swift
219,swift-atomics,Swift
220,swift-cassandra-client,Swift
221,swift-certificates,Swift
222,swift-clang,C++
223,swift-clang-tools-extra,C++
224,swift-cluster-membership,Swift
225,swift-cmake-examples,CMake
226,swift-collections,Swift
227,swift-collections-benchmark,Swift
228,swift-compiler-rt,C
229,swift-container-plugin,Swift
230,swift-crypto,C
231,swift-distributed-actors,Swift
232,swift-distributed-tracing,Swift
233,swift-distributed-tracing-baggage-core,Swift
234,swift-distributed-tracing-extras,Swift
235,swift-embedded-examples,Swift
236,swift-evolution-staging,Swift
237,swift-for-wasm-examples,Swift
238,swift-getting-started-cli,Swift
239,swift-getting-started-package-library,Swift
240,swift-homomorphic-encryption,Swift
241,swift-homomorphic-encryption-protobuf,
242,swift-http-structured-headers,Swift
243,swift-http-types,Swift
244,swift-internals,HTML
245,swift-issues,
246,swift-libcxx,C++
247,swift-llbuild2,Swift
248,swift-lldb,C++
249,swift-llvm,LLVM
250,swift-log,Swift
251,swift-matter-examples,Swift
252,swift-metrics,Swift
253,swift-metrics-extras,Swift
254,swift-migration-guide,Markdown
255,swift-mmio,Swift
256,swift-nio,Swift
257,swift-nio-examples,Swift
258,swift-nio-extras,Swift
259,swift-nio-http2,Swift
260,swift-nio-imap,Swift
261,swift-nio-nghttp2-support,Swift
262,swift-nio-oblivious-http,Swift
263,swift-nio-ssh,Swift
264,swift-nio-ssl,C
265,swift-nio-ssl-support,Swift
266,swift-nio-transport-services,Swift
267,swift-nio-zlib-support,Swift
268,swift-numerics,Swift
269,swift-openapi-generator,Swift
270,swift-openapi-runtime,Swift
271,swift-openapi-urlsession,Swift
272,swift-playdate-examples,Swift
273,swift-protobuf,Swift
274,swift-protobuf-plugin,
275,swift-protobuf-test-conformance,
276,swift-sample-distributed-actors-transport,Swift
277,swift-service-context,Swift
278,swift-service-discovery,Swift
279,swift-standard-library-preview,Swift
280,swift-statsd-client,Swift
281,swift-string-processing-benchmarks,Swift
282,swift-system,Swift
283,swift-tools-support-async,Swift
284,swift-xcode-playground-support,Swift
285,swiftpm-on-llbuild2,Swift
286,tensor-visualizer,Svelte
287,tensorflow_macos,Shell
288,ToolSandbox,Python
289,tree-sitter-pkl,C
290,turicreate,C++
291,unityplugins,C#
292,VideoFlashingReduction,Mathematica
293,vqg-multimodal-assistant,Python
